index,geometry
304,POINT (121972.7253806945 487337.1610170505)
305,POINT (122000.3156958305 487372.3167450301)
306,POINT (122061.0274334628 487604.0769426365)
307,POINT (122055.2587908095 487614.1944338116)
308,POINT (121979.7984142347 487334.4975087757)
309,POINT (122054.5875796159 487627.0589871698)
310,POINT (121974.5712332719 487340.4923102317)
311,POINT (121980.9970110042 487338.9868992332)
312,POINT (121983.9367080168 487347.5331011597)
313,POINT (121987.608066827 487349.4043452565)
314,POINT (122003.6701221081 487377.2009983822)
315,POINT (121992.9474097123 487359.1480617176)
316,POINT (121983.4259860805 487346.1936256687)
317,POINT (122068.7207892186 487598.2021343467)
318,POINT (121969.4641350594 487336.359678302)
319,POINT (121987.9148557579 487347.2228851952)
320,POINT (121987.2610214217 487356.468002898)
321,POINT (122062.2407477531 487600.5459701208)
322,POINT (122002.964347589 487380.9801261248)
323,POINT (121975.7264547731 487342.3707697564)
324,POINT (122053.6421466192 487651.2619731232)
325,POINT (122061.3859482201 487589.3948237805)
326,POINT (122001.2289812667 487377.3012643674)
327,POINT (122000.6569678059 487364.8227669345)
328,POINT (121986.1571704625 487345.9987923446)
329,POINT (122063.7519037708 487598.5093095941)
330,POINT (122056.5683000921 487635.0073085334)
331,POINT (121972.3985026969 487336.666387905)
332,POINT (121980.3896729157 487352.1431738622)
333,POINT (122067.0083212741 487605.7254325697)
334,POINT (121974.1967078581 487336.2629010509)
335,POINT (122062.3471911946 487625.8137384573)
336,POINT (122058.6916091613 487613.0352878678)
337,POINT (122055.5238364643 487637.1117240015)
338,POINT (121982.2001001666 487348.4070238218)
339,POINT (121986.1130842816 487341.0457036084)
340,POINT (122056.9212177602 487611.6355735361)
341,POINT (121978.8869179202 487347.241620312)
342,POINT (121986.7891685223 487349.8835752962)
343,POINT (121993.2181959211 487364.0631190155)
344,POINT (122001.1473139889 487377.1140287258)
345,POINT (121983.8750244834 487355.5765271682)
346,POINT (122000.1917746002 487372.0052453974)
347,POINT (121969.0062818285 487336.9375271033)
348,POINT (122053.413013393 487630.1884675295)
349,POINT (121976.5114619596 487344.3671084861)
350,POINT (121972.705445741 487337.6078954708)
351,POINT (122000.6175960274 487365.8496819314)
352,POINT (121981.8551567923 487342.144134213)
353,POINT (122067.6955645432 487603.5714692733)
354,POINT (121984.9162272278 487349.0901478034)
355,POINT (123720.1637627942 486806.6689371034)
356,POINT (123090.2848198069 487281.8470976598)
357,POINT (123101.6588300962 487292.7361210216)
358,POINT (123331.1619989133 487151.990955091)
359,POINT (123348.5921842764 487134.5600465459)
360,POINT (122501.0374461486 486210.8885512738)
361,POINT (122367.5521498813 486169.3719161193)
362,POINT (122685.3369603678 486986.8774204759)
363,POINT (122725.6583963046 486965.7547551384)
364,POINT (122911.8474496017 486433.7618945792)
365,POINT (123235.4187027919 487229.2282682785)
366,POINT (122592.3476064461 486919.7523127319)
367,POINT (122595.0425548343 486920.408109235)
368,POINT (122589.9616524598 486921.0477707654)
369,POINT (123464.9762938586 486562.5291057955)
370,POINT (123975.9555614183 486954.8018333113)
371,POINT (122911.5171915845 486451.0880309876)
